,anthesis.ARIHAS_2013_drought,anthesis.ARIHAS_2013_watered,anthesis.BIOGAI_2012_drought,anthesis.BIOGAI_2012_watered,anthesis.BIOGAI_2013_drought,anthesis.BIOGAI_2013_watered,anthesis.BIOGRA_2013_drought,anthesis.BIOGRA_2013_watered,anthesis.BIONER_2012_drought,anthesis.BIONER_2012_watered,anthesis.BIONER_2013_drought,anthesis.BIONER_2013_watered,anthesis.KWSCAR_2012_drought,anthesis.KWSCAR_2012_watered,anthesis.KWSKRK_2012_drought,anthesis.KWSKRK_2012_watered,anthesis.KWSKRK_2013_drought,anthesis.KWSKRK_2013_watered,anthesis.KWSMUR_2013_drought,anthesis.KWSMUR_2013_watered,anthesis.SYNHUN_2012_drought,anthesis.SYNHUN_2012_watered,anthesis.SYNHUN_2013_drought,anthesis.SYNIT_2013_drought,anthesis.SYNIT_2013_watered,anthesis.UNIBO_2012_drought,anthesis.UNIBO_2012_watered
11430_usda,63.15568905,68.52831277,64.06592175,64.23822839,77.00771548,75.89117064,66.00671997,67.22379654,68.15498122,67.23432177,68.22033375,67.12497547,70.1384478,68.99276845,64.56216847,62.71163024,67.33879713,66.6185246,59.37740861,60.90658142,65.11313414,66.55907646,70.65909627,70.88041273,70.43616349,66.11518702,65.08547489
A3_inra,68.65034823,66.90000221,67.36537719,64.58631527,76.73821382,76.82628529,67.79167936,67.82183571,68.71258573,68.48255308,70.93188434,68.50051794,71.21664687,71.63354971,65.03935702,64.21584054,66.82921473,65.09782654,60.21907021,62.90748715,70.40944947,67.0851833,72.1506159,72.43711487,71.27894316,66.64552147,65.73937367
A310_inra,69.65319131,69.62794654,66.67741604,65.53804913,77.67238245,76.7086461,67.50090996,68.18623599,67.71582672,69.00330704,71.93042739,67.74452775,69.50850364,67.4109047,66.09283767,64.74748697,65.98595781,65.44793008,60.45796922,62.48780304,63.60719083,66.67672018,69.9297428,70.29266416,71.24074954,65.21632718,63.61027388
A347_inra,71.15761887,69.01390602,64.92067409,69.11577062,81.20316447,77.58498892,69.61122915,69.35533793,70.18533697,69.85357565,76.10175265,71.53137335,73.26289845,72.60727668,65.37831117,64.45670414,68.8850467,65.48987777,61.47048494,61.81311844,69.56957385,68.20603695,73.88613625,71.63138811,75.41792337,70.85451737,67.88911744
A374_inra,67.96996868,70.19565956,66.37495696,67.82053527,78.24011959,77.34298794,68.53674405,69.2460862,69.07037929,69.44532988,72.84795698,69.59222382,71.85508115,70.56349174,67.66527132,65.28051356,67.78906853,65.45608683,64.61955355,65.49748571,70.72107505,68.07875917,72.22050674,73.79572561,73.33449964,67.64907654,64.40043385
A375_inra,65.58971989,66.76050666,64.463451,65.0423281,77.83015867,78.04853569,68.03235373,68.5184931,69.23382089,68.60411046,72.23288061,69.91076821,71.12190944,71.67503659,64.91871967,65.62542443,68.73466198,65.44130608,61.36950864,62.24470388,70.83370029,68.40977459,74.41997681,72.83963984,72.53544258,67.35286506,65.20852593
A554_inra,65.64407416,64.36619564,62.19975925,63.98304155,75.12297615,72.19787054,65.69054,64.89253479,63.58096068,67.46371637,66.37366965,64.29206473,69.48104265,64.70481436,62.11639792,59.89467795,63.93782621,62.04010972,56.68772074,58.04120249,63.31282234,65.76799011,67.98792998,70.4168581,68.93594781,65.30255061,64.22443328
AS5707_usda,72.51692289,74.10587924,70.80895795,69.57947791,85.80995684,77.28781778,74.16412093,71.90320649,70.73008063,73.95577193,77.69256805,75.5565956,75.46484174,72.7442701,68.8166366,66.11803947,70.75627905,69.966146,63.96835169,60.72520919,71.38094883,68.56210661,75.60250227,73.8063048,73.48016158,71.96362264,71.68745542
B100_uh,71.95724156,69.09981002,66.22896155,65.18118172,81.27380088,77.40283494,69.60360529,68.06775498,69.74333732,69.07341593,75.20719265,69.4485111,71.9050711,72.07955267,64.94711209,63.73023124,68.01787887,64.7132131,63.49726661,62.13434114,68.01170746,67.42500266,71.53918777,73.36332413,73.64681091,69.78564272,65.34990887
B104_inra,68.96228334,70.52860699,70.64058727,68.15154902,85.35022801,77.81852914,73.35261377,71.34463596,69.66796263,71.60897334,78.46258228,73.8792207,73.32832986,72.11808265,67.23509807,69.91915939,69.55741095,68.58623162,61.0554827,64.17769505,70.18172818,67.61638702,73.13848783,71.83133339,75.31522076,72.22695187,66.485141
